"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 02 11:12:40 GMT 2024","Fri Aug 02 11:12:41 GMT 2024","173","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidStatusTest","getPetsByInvalidStatusTest",""
"passed","Fri Aug 02 11:12:40 GMT 2024","Fri Aug 02 11:12:40 GMT 2024","258","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByIdTest","getPetsByIdTest",""
"passed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","191","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithRequiredFieldsTest","createPetWithRequiredFieldsTest",""
"passed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","169","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithNoBodyTest","createPetWithNoBodyTest",""
"passed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","314","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataTest","updateWithFormDataTest",""
"passed","Fri Aug 02 11:12:37 GMT 2024","Fri Aug 02 11:12:40 GMT 2024","3131","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByAllStatusesTest","getPetsByAllStatusesTest",""
"passed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:40 GMT 2024","470","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","uploadImageToPetTest","uploadImageToPetTest",""
"passed","Fri Aug 02 11:12:41 GMT 2024","Fri Aug 02 11:12:42 GMT 2024","944","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByStatusOneByOneTest","getPetsByStatusOneByOneTest",""
"passed","Fri Aug 02 11:12:37 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","1692","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithAllFieldsTest","createPetWithAllFieldsTest",""
"failed","Fri Aug 02 11:12:40 GMT 2024","Fri Aug 02 11:12:40 GMT 2024","128","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidPetIdTest","getPetsByInvalidPetIdTest",""
"passed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","456","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithNotFoundPetIdTest","deleteWithNotFoundPetIdTest",""
"failed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","340","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataInvalidInputTest","updateWithFormDataInvalidInputTest",""
"passed","Fri Aug 02 11:12:37 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","1852","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteCreatedPetTest","deleteCreatedPetTest",""
"passed","Fri Aug 02 11:12:41 GMT 2024","Fri Aug 02 11:12:41 GMT 2024","407","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByNotFoundPetIdTest","getPetsByNotFoundPetIdTest",""
"passed","Fri Aug 02 11:12:37 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","1874","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updatePetTest","updatePetTest",""
"failed","Fri Aug 02 11:12:39 GMT 2024","Fri Aug 02 11:12:39 GMT 2024","237","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithInvalidPetIdTest","deleteWithInvalidPetIdTest",""
