"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","80","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithNoBodyTest","createPetWithNoBodyTest",""
"passed","Fri Aug 02 11:04:32 GMT 2024","Fri Aug 02 11:04:32 GMT 2024","166","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByNotFoundPetIdTest","getPetsByNotFoundPetIdTest",""
"passed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","342","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","uploadImageToPetTest","uploadImageToPetTest",""
"passed","Fri Aug 02 11:04:32 GMT 2024","Fri Aug 02 11:04:32 GMT 2024","120","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByIdTest","getPetsByIdTest",""
"failed","Fri Aug 02 11:04:30 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","131","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithInvalidPetIdTest","deleteWithInvalidPetIdTest",""
"failed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","219","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataInvalidInputTest","updateWithFormDataInvalidInputTest",""
"failed","Fri Aug 02 11:04:32 GMT 2024","Fri Aug 02 11:04:32 GMT 2024","49","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidPetIdTest","getPetsByInvalidPetIdTest",""
"passed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","271","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithNotFoundPetIdTest","deleteWithNotFoundPetIdTest",""
"passed","Fri Aug 02 11:04:29 GMT 2024","Fri Aug 02 11:04:30 GMT 2024","1567","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteCreatedPetTest","deleteCreatedPetTest",""
"passed","Fri Aug 02 11:04:29 GMT 2024","Fri Aug 02 11:04:32 GMT 2024","2799","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByAllStatusesTest","getPetsByAllStatusesTest",""
"passed","Fri Aug 02 11:04:29 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","1617","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updatePetTest","updatePetTest",""
"passed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","85","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithRequiredFieldsTest","createPetWithRequiredFieldsTest",""
"failed","Fri Aug 02 11:04:32 GMT 2024","Fri Aug 02 11:04:32 GMT 2024","67","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidStatusTest","getPetsByInvalidStatusTest",""
"passed","Fri Aug 02 11:04:31 GMT 2024","Fri Aug 02 11:04:31 GMT 2024","200","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataTest","updateWithFormDataTest",""
"passed","Fri Aug 02 11:04:29 GMT 2024","Fri Aug 02 11:04:30 GMT 2024","1477","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithAllFieldsTest","createPetWithAllFieldsTest",""
"passed","Fri Aug 02 11:04:32 GMT 2024","Fri Aug 02 11:04:33 GMT 2024","648","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByStatusOneByOneTest","getPetsByStatusOneByOneTest",""
