"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 10:56:35 GMT 2024","Fri Aug 02 10:56:35 GMT 2024","83","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByIdTest","getPetsByIdTest",""
"passed","Fri Aug 02 10:56:32 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","1527","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithAllFieldsTest","createPetWithAllFieldsTest",""
"failed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","95","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithInvalidPetIdTest","deleteWithInvalidPetIdTest",""
"passed","Fri Aug 02 10:56:35 GMT 2024","Fri Aug 02 10:56:36 GMT 2024","544","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByStatusOneByOneTest","getPetsByStatusOneByOneTest",""
"failed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","172","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataInvalidInputTest","updateWithFormDataInvalidInputTest",""
"failed","Fri Aug 02 10:56:35 GMT 2024","Fri Aug 02 10:56:35 GMT 2024","46","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidStatusTest","getPetsByInvalidStatusTest",""
"failed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","197","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithNotFoundPetIdTest","deleteWithNotFoundPetIdTest",""
"passed","Fri Aug 02 10:56:32 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","1581","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteCreatedPetTest","deleteCreatedPetTest",""
"passed","Fri Aug 02 10:56:32 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","1617","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updatePetTest","updatePetTest",""
"passed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","47","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithNoBodyTest","createPetWithNoBodyTest",""
"passed","Fri Aug 02 10:56:35 GMT 2024","Fri Aug 02 10:56:35 GMT 2024","124","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByNotFoundPetIdTest","getPetsByNotFoundPetIdTest",""
"passed","Fri Aug 02 10:56:32 GMT 2024","Fri Aug 02 10:56:35 GMT 2024","2701","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByAllStatusesTest","getPetsByAllStatusesTest",""
"passed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","154","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataTest","updateWithFormDataTest",""
"failed","Fri Aug 02 10:56:35 GMT 2024","Fri Aug 02 10:56:35 GMT 2024","41","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidPetIdTest","getPetsByInvalidPetIdTest",""
"passed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","83","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithRequiredFieldsTest","createPetWithRequiredFieldsTest",""
"passed","Fri Aug 02 10:56:34 GMT 2024","Fri Aug 02 10:56:34 GMT 2024","270","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","uploadImageToPetTest","uploadImageToPetTest",""
