"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 06:03:59 GMT 2024","Sun May 19 06:03:59 GMT 2024","79","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithRequiredFieldsTest","createPetWithRequiredFieldsTest",""
"passed","Sun May 19 06:03:57 GMT 2024","Sun May 19 06:03:59 GMT 2024","1509","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithAllFieldsTest","createPetWithAllFieldsTest",""
"passed","Sun May 19 06:04:01 GMT 2024","Sun May 19 06:04:01 GMT 2024","117","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByIdTest","getPetsByIdTest",""
"failed","Sun May 19 06:04:00 GMT 2024","Sun May 19 06:04:00 GMT 2024","51","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithInvalidPetIdTest","deleteWithInvalidPetIdTest",""
"passed","Sun May 19 06:04:01 GMT 2024","Sun May 19 06:04:02 GMT 2024","489","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByStatusOneByOneTest","getPetsByStatusOneByOneTest",""
"passed","Sun May 19 06:04:01 GMT 2024","Sun May 19 06:04:01 GMT 2024","150","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByNotFoundPetIdTest","getPetsByNotFoundPetIdTest",""
"passed","Sun May 19 06:04:00 GMT 2024","Sun May 19 06:04:00 GMT 2024","116","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataTest","updateWithFormDataTest",""
"passed","Sun May 19 06:03:59 GMT 2024","Sun May 19 06:03:59 GMT 2024","191","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","uploadImageToPetTest","uploadImageToPetTest",""
"failed","Sun May 19 06:04:01 GMT 2024","Sun May 19 06:04:01 GMT 2024","71","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidStatusTest","getPetsByInvalidStatusTest",""
"failed","Sun May 19 06:03:59 GMT 2024","Sun May 19 06:04:00 GMT 2024","147","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updateWithFormDataInvalidInputTest","updateWithFormDataInvalidInputTest",""
"passed","Sun May 19 06:03:59 GMT 2024","Sun May 19 06:03:59 GMT 2024","148","Regression API tests for Petstore","PET endpoint","api.pet.tests.UpdatePetTest","api.pet.tests.UpdatePetTest","updatePetTest","updatePetTest",""
"passed","Sun May 19 06:04:00 GMT 2024","Sun May 19 06:04:00 GMT 2024","113","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteCreatedPetTest","deleteCreatedPetTest",""
"failed","Sun May 19 06:04:01 GMT 2024","Sun May 19 06:04:01 GMT 2024","52","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByInvalidPetIdTest","getPetsByInvalidPetIdTest",""
"passed","Sun May 19 06:04:00 GMT 2024","Sun May 19 06:04:00 GMT 2024","169","Regression API tests for Petstore","PET endpoint","api.pet.tests.DeletePetTest","api.pet.tests.DeletePetTest","deleteWithNotFoundPetIdTest","deleteWithNotFoundPetIdTest",""
"passed","Sun May 19 06:03:59 GMT 2024","Sun May 19 06:03:59 GMT 2024","69","Regression API tests for Petstore","PET endpoint","api.pet.tests.CreatePetTest","api.pet.tests.CreatePetTest","createPetWithNoBodyTest","createPetWithNoBodyTest",""
"passed","Sun May 19 06:04:00 GMT 2024","Sun May 19 06:04:01 GMT 2024","640","Regression API tests for Petstore","PET endpoint","api.pet.tests.GetPetTest","api.pet.tests.GetPetTest","getPetsByAllStatusesTest","getPetsByAllStatusesTest",""
